sector  pad  layer noise_in_MeV
2  62  0  0.019977010551440622
2  61  0  0.016831847694900835
2  60  0  0.016955138760395068
2  59  0  0.015257468186421793
2  58  0  0.018511977835593912
2  57  0  0.016863381207661815
2  56  0  0.012913404970501953
2  55  0  0.010120651414817015
2  54  0  0.012999228082076094
2  53  0  0.012217151930405462
2  52  0  0.012338653789621255
2  51  0  0.01172955716918737
2  50  0  0.013006238487333215
2  49  0  0.012183935698534501
2  48  0  0.012734089452741676
2  47  0  0.010860231421581717
2  46  0  0.01331653655002647
2  45  0  0.011027109016217293
2  44  0  0.01225148184057992
2  43  0  0.011755310425335239
2  42  0  0.012750298796416091
2  41  0  0.010252956175425076
2  40  0  0.011444388969009943
2  39  0  0.010835647305804259
2  38  0  0.010166226813677655
2  37  0  0.01197011057350299
2  36  0  0.010660190838659416
2  35  0  0.010991515680158678
2  34  0  0.010245699518590888
2  33  0  0.01130450365309695
2  32  0  0.011866227903702392
2  31  0  0.011762101200807402
2  30  0  0.014731442649802098
2  29  0  0.009619615976304537
2  28  0  0.01171298510359538
2  27  0  0.010745340640741303
2  26  0  0.00942430852617213
2  25  0  0.0075672432996304485
2  24  0  0.009993840726556819
2  23  0  0.01234925591833131
2  22  0  0.015121451904296281
2  21  0  0.010717518649497784
2  20  0  0.013067766995119162
2  19  0  0.009899496423022994
2  18  0  0.008723697831478703
2  17  0  0.008760428694529598
2  16  0  0.01092124745986944
2  15  0  0.009116542861453877
2  14  0  0.009123675837878863
2  13  0  0.008908492446828781
2  12  0  0.01175990046599251
2  11  0  0.008546387822057815
2  10  0  0.00870626000302229
2  9  0  0.009079266251664615
2  8  0  0.010126799939554391
2  7  0  0.009826722426550867
2  6  0  0.0063134822352548334
2  5  0  0.006727181002387257
2  4  0  0.008370724481403405
2  3  0  0.0074635974528555514
2  2  0  0.006207202494922493
2  1  0  0.005736916335544926
2  0  0  0.0059391765103848655
3  0  0  0.008887286525546663
3  1  0  0.007798545076565217
3  2  0  0.008014775591438515
3  3  0  0.011769619638597401
3  4  0  0.006198484967245958
3  5  0  0.0070268181465795365
3  6  0  0.008354604431656714
3  7  0  0.00778402399820747
3  8  0  0.007647277280660782
3  9  0  0.006848744979117992
3  10  0  0.007593206202391233
3  11  0  0.009229038235624551
3  12  0  0.009279925236632933
3  13  0  0.008974592692789917
3  14  0  0.009051819738614053
3  15  0  0.00724723105591833
3  16  0  0.010063966963954778
3  17  0  0.009235459079110445
3  18  0  0.011133479714339367
3  19  0  0.006266894099052457
3  20  0  0.010003089580834332
3  21  0  0.00971848265677401
3  22  0  0.007874310142305671
3  23  0  0.007102458977290114
3  24  0  0.010344006032184591
3  25  0  0.009783006116172962
3  26  0  0.010800394506836453
3  27  0  0.007632497749071247
3  28  0  0.009686324641139651
3  29  0  0.01017518948368993
3  30  0  0.010695811905751489
3  31  0  0.007282959719420199
3  32  0  0.010335530319119777
3  33  0  0.009898565769540282
3  34  0  0.008894223720875461
3  35  0  0.011575100859056416
3  36  0  0.011554779557741474
3  37  0  0.011026396883278205
3  38  0  0.012477615107499566
3  39  0  0.011773626218310804
3  40  0  0.01070969406109846
3  41  0  0.011228416352747763
3  42  0  0.013839075741120359
3  43  0  0.011951655016118818
3  44  0  0.009765700842056455
3  45  0  0.012408905371290427
3  46  0  0.010022864026169566
3  47  0  0.009713821624671099
3  48  0  0.012079483987927435
3  49  0  0.01074293136855484
3  50  0  0.011460121338908951
3  51  0  0.012832635562464426
3  52  0  0.011637431348329839
3  53  0  0.013311917669094406
3  54  0  0.01286316521181438
3  55  0  0.013229495491463038
3  56  0  0.013852916854537819
3  57  0  0.01590987069793847
3  58  0  0.012199260976862409
3  59  0  0.014287102754565238
3  60  0  0.01212739433980489
3  61  0  0.016939428575322827
