Vpp  mean  Vpp_err  mean_err
.100  65.784  0.0  0.0400952
.150  99.2233  0.0  0.0408739
.200  133.3  0.0  0.0381179
.250  168.976  0.0  0.0388329
.300  204.845  0.0  0.0435852
.350  240.264  0.0  0.0401517
.400  276.089  0.0  0.0417491
.450  310.827  0.0  0.0440664
.500  346.61  0.0  0.0450521
.550  382.322  0.0  0.0421389
.600  417.002  0.0  0.0371203
.650  452.908  0.0  0.0449157
.700  487.998  0.0  0.0423963
.750  523.889  0.0  0.0426971
.800  559.529  0.0  0.0458589
.900  628.347  0.0  0.0425927
1.000  691.692  0.0  0.040233
1.100  749.811  0.0  0.0375949
1.200  801.989  0.0  0.0369003
1.300  854.026  0.0  0.0350533
1.400  896.839  0.0  0.0312671
1.500  945.297  0.0  0.0353553
1.600  993.03  0.0  0.0348873
1.700  1035.11  0.0  0.0346304
1.800  1083.64  0.0  0.0370602
1.900  1131.06  0.0  0.0401368
2.000  1172.81  0.0  0.0403339
2.100  1220.03  0.0  0.042095
2.200  1262.9  0.0  0.0436466
2.300  1308.34  0.0  0.0427218
2.500  1391.74  0.0  0.0424554
2.700  1455.59  0.0  0.0401347
3.000  1490.51  0.0  0.0357069
3.200  1492.27  0.0  0.0292914
