Vpp  mean  Vpp_err  mean_err
.100  68.2918  0.0  0.0503776
.150  103.054  0.0  0.0460762
.200  139.108  0.0  0.0425741
.250  177  0.0  0.0442353
.300  213.998  0.0  0.0394419
.350  251.299  0.0  0.0476811
.400  289.409  0.0  0.0422187
.450  326.787  0.0  0.04162
.500  363.664  0.0  0.0454123
.550  400.796  0.0  0.0435097
.600  437.495  0.0  0.0471039
.650  475.281  0.0  0.044033
.700  512.411  0.0  0.0480075
.750  549.271  0.0  0.0499555
.800  586.986  0.0  0.0518044
.900  659.608  0.0  0.0498276
1.000  725.314  0.0  0.0487488
1.100  785.203  0.0  0.0434298
1.200  840.314  0.0  0.0431366
1.300  894.912  0.0  0.0406899
1.400  941.044  0.0  0.041013
1.500  991.949  0.0  0.0393967
1.600  1042.77  0.0  0.0406452
1.700  1087.03  0.0  0.0421905
1.800  1136.71  0.0  0.0460938
1.900  1187.05  0.0  0.0452443
2.000  1230.82  0.0  0.0468807
2.100  1279.73  0.0  0.0504964
2.200  1325.03  0.0  0.0503731
2.300  1372.32  0.0  0.0481787
2.500  1458.57  0.0  0.0455528
2.700  1524.68  0.0  0.0384074
3.000  1558.78  0.0  0.0304348
3.200  1560.47  0.0  0.027672
